Treatment,Crop,Bench,Tray,Replication/plug no,shoot length (cm),stem number,Fresh weight (g),Dry weight (g)
Control,Mn24,29,A1,1,19,,15.72,1.17
Control,Mn24,29,A1,2,20,,15.3,1.42
Control,Mn24,29,A1,3,17,,17.55,1.19
Control,Mn24,29,A1,4,20,,15.67,1.33
Control,Mn24,29,A1,5,18,,16.59,1.21
Control,Mn24,29,A2,1,22,,16.33,
Control,Mn24,29,A2,2,20,,17.57,
Control,Mn24,29,A2,3,19,,9.64,
Control,Mn24,29,A2,4,20,,18.81,
Control,Mn24,29,A2,5,21,,19.21,
Control,Mn24,29,A4,1,20,,13.19,
Control,Mn24,29,A4,2,21,,15.23,
Control,Mn24,29,A4,3,19,,15.5,
Control,Mn24,29,A4,4,21,,17.62,
Control,Mn24,29,A4,5,18,,16.19,
Control,Mn24,29,B8,1,18,,16.87,
Control,Mn24,29,B8,2,16,,14.84,
Control,Mn24,29,B8,3,18.5,,16,
Control,Mn24,29,B8,4,19,,17.28,
Control,Mn24,29,B8,5,17,,16.21,
Control,Cr31,29,A3,1,21,40,19.4,1.53
Control,Cr31,29,A3,2,21,36,20.65,1.8
Control,Cr31,29,A3,3,20,38,21.98,1.92
Control,Cr31,29,A3,4,21,43,24.05,2.09
Control,Cr31,29,A3,5,22,28,17.9,1.64
Control,Cr31,29,A5,1,20,36,22.63,
Control,Cr31,29,A5,2,18,32,15.09,
Control,Cr31,29,A5,3,19,27,19.7,
Control,Cr31,29,A5,4,18,30,21.19,
Control,Cr31,29,A5,5,19,47,24.82,
Control,Cr31,29,A8,1,20,42,23.12,
Control,Cr31,29,A8,2,20,23,17.2,
Control,Cr31,29,A8,3,21,28,23.85,
Control,Cr31,29,A8,4,19,35,23.51,
Control,Cr31,29,A8,5,22,37,15.98,
Control,Cr31,29,B4,1,20,34,19.25,
Control,Cr31,29,B4,2,21,37,21.69,
Control,Cr31,29,B4,3,19,27,20.91,
Control,Cr31,29,B4,4,22,34,22.08,
Control,Cr31,29,B4,5,20,37,24.01,
Control,Pr26,29,A6,1,15,36,16.49,1.55
Control,Pr26,29,A6,2,16,35,14.31,1.32
Control,Pr26,29,A6,3,15,31,13.72,1.21
Control,Pr26,29,A6,4,15,35,13.68,1.28
Control,Pr26,29,A6,5,14,40,15.16,1.42
Control,Pr26,29,B1,1,14,37,14.9,
Control,Pr26,29,B1,2,14,34,13.97,
Control,Pr26,29,B1,3,13,32,10.16,
Control,Pr26,29,B1,4,13,27,9.17,
Control,Pr26,29,B1,5,16,38,15.4,
Control,Pr26,29,B6,1,15,44,13.94,
Control,Pr26,29,B6,2,16,38,13.15,
Control,Pr26,29,B6,3,15,49,15.52,
Control,Pr26,29,B6,4,15,48,16.79,
Control,Pr26,29,B6,5,15,44,15.17,
Control,Pr26,29,B10,1,17,43,12.26,
Control,Pr26,29,B10,2,15,49,14.14,
Control,Pr26,29,B10,3,14,42,16.67,
Control,Pr26,29,B10,4,17,50,14.8,
Control,Pr26,29,B10,5,17,34,13.06,
Control,Bs79,29,A7,1,9,15,8.83,0.75
Control,Bs79,29,A7,2,9,13,8.06,0.63
Control,Bs79,29,A7,3,8,15,5.6,0.41
Control,Bs79,29,A7,4,8,17,7.66,0.62
Control,Bs79,29,A7,5,8,10,7.3,0.59
Control,Bs79,29,A9,1,9,8,6.44,
Control,Bs79,29,A9,2,8.5,12,8.94,
Control,Bs79,29,A9,3,9.5,7,8,
Control,Bs79,29,A9,4,8.5,13,5.33,
Control,Bs79,29,A9,5,9,10,6.8,
Control,Bs79,29,A10,1,10,19,10.46,
Control,Bs79,29,A10,2,9.5,15,8.39,
Control,Bs79,29,A10,3,10,14,7.88,
Control,Bs79,29,A10,4,9,11,7,
Control,Bs79,29,A10,5,9.5,16,8.36,
Control,Bs79,29,B3,1,10,22,11.93,
Control,Bs79,29,B3,2,11,14,9.67,
Control,Bs79,29,B3,3,10,15,9.06,
Control,Bs79,29,B3,4,10,14,10.05,
Control,Bs79,29,B3,5,9.5,16,8.03,
Control,Bs49,29,B2,1,10,22,10.35,1.29
Control,Bs49,29,B2,2,10,21,18.22,1.04
Control,Bs49,29,B2,3,11,15,18.36,1.03
Control,Bs49,29,B2,4,10,19,20.38,1.33
Control,Bs49,29,B2,5,10,17,17.2,1.14
Control,Bs49,29,B5,1,10,23,15.95,
Control,Bs49,29,B5,2,9,14,15.69,
Control,Bs49,29,B5,3,9.5,14,13.57,
Control,Bs49,29,B5,4,10.5,17,15.61,
Control,Bs49,29,B5,5,11,15,16.25,
Control,Bs49,29,B7,1,9.5,7,12.85,
Control,Bs49,29,B7,2,10,15,17.84,
Control,Bs49,29,B7,3,9.5,18,18.19,
Control,Bs49,29,B7,4,8.5,21,15.83,
Control,Bs49,29,B7,5,10.5,17,18.96,
Control,Bs49,29,B9,1,9,18,18.41,
Control,Bs49,29,B9,2,10,20,14.25,
Control,Bs49,29,B9,3,9.5,21,16.23,
Control,Bs49,29,B9,4,9.5,24,19.17,
Control,Bs49,29,B9,5,10,18,15.44,
8 min UVC,Mn24,30,A1,1,17,,14.19,1.21
8 min UVC,Mn24,30,A1,2,15,,16.36,1.52
8 min UVC,Mn24,30,A1,3,16,,18.48,1.21
8 min UVC,Mn24,30,A1,4,16,,14.42,1.24
8 min UVC,Mn24,30,A1,5,20,,17.21,1.51
8 min UVC,Mn24,30,A2,1,15,,15.53,
8 min UVC,Mn24,30,A2,2,19,,13.87,
8 min UVC,Mn24,30,A2,3,18,,14.4,
8 min UVC,Mn24,30,A2,4,18,,12.82,
8 min UVC,Mn24,30,A2,5,19,,18.22,
8 min UVC,Mn24,30,A4,1,20,,16.16,
8 min UVC,Mn24,30,A4,2,16,,12.32,
8 min UVC,Mn24,30,A4,3,18,,17.3,
8 min UVC,Mn24,30,A4,4,20,,12.91,
8 min UVC,Mn24,30,A4,5,18,,13.95,
8 min UVC,Mn24,30,B8,1,17,,15.16,
8 min UVC,Mn24,30,B8,2,22,,18.72,
8 min UVC,Mn24,30,B8,3,20,,15.04,
8 min UVC,Mn24,30,B8,4,18,,14.23,
8 min UVC,Mn24,30,B8,5,21,,15.44,
8 min UVC,Cr31,30,A3,1,18,41,23.07,1.95
8 min UVC,Cr31,30,A3,2,17,38,20.69,1.83
8 min UVC,Cr31,30,A3,3,16,36,23.32,2.15
8 min UVC,Cr31,30,A3,4,18,28,20.47,1.7
8 min UVC,Cr31,30,A3,5,16,32,23.14,2.04
8 min UVC,Cr31,30,A5,1,16,41,20.44,
8 min UVC,Cr31,30,A5,2,19,43,30.16,
8 min UVC,Cr31,30,A5,3,20,41,22.49,
8 min UVC,Cr31,30,A5,4,19,36,22.41,
8 min UVC,Cr31,30,A5,5,18,35,21.72,
8 min UVC,Cr31,30,A8,1,21,41,24.74,
8 min UVC,Cr31,30,A8,2,21,38,21.99,
8 min UVC,Cr31,30,A8,3,21,28,22.27,
8 min UVC,Cr31,30,A8,4,20,48,25.66,
8 min UVC,Cr31,30,A8,5,20,42,30.85,
8 min UVC,Cr31,30,B4,1,19,29,16.16,
8 min UVC,Cr31,30,B4,2,18,41,21.7,
8 min UVC,Cr31,30,B4,3,17,34,17.87,
8 min UVC,Cr31,30,B4,4,19,30,24.98,
8 min UVC,Cr31,30,B4,5,18,28,14.98,
8 min UVC,Pr26,30,A6,2,15,35,15.42,1.49
8 min UVC,Pr26,30,A6,1,14,37,13.19,1.32
8 min UVC,Pr26,30,A6,3,12,40,13.73,1.4
8 min UVC,Pr26,30,A6,4,15,36,12.15,1.14
8 min UVC,Pr26,30,A6,5,12,38,12.67,1.29
8 min UVC,Pr26,30,B1,1,13,34,9.85,
8 min UVC,Pr26,30,B1,2,14,34,10.51,
8 min UVC,Pr26,30,B1,3,15,38,9.9,
8 min UVC,Pr26,30,B1,4,13,27,9.91,
8 min UVC,Pr26,30,B1,5,12,37,11.98,
8 min UVC,Pr26,30,B6,1,12,33,13.46,
8 min UVC,Pr26,30,B6,2,12,38,13.77,
8 min UVC,Pr26,30,B6,3,13,31,12.43,
8 min UVC,Pr26,30,B6,4,13,28,12.52,
8 min UVC,Pr26,30,B6,5,14,30,14.95,
8 min UVC,Pr26,30,B10,1,13,52,13.15,
8 min UVC,Pr26,30,B10,2,14,40,11.87,
8 min UVC,Pr26,30,B10,3,14,45,12.75,
8 min UVC,Pr26,30,B10,4,14,47,13.72,
8 min UVC,Pr26,30,B10,5,14,46,13.57,
8 min UVC,Bs79,30,A7,1,8,16,8.52,0.69
8 min UVC,Bs79,30,A7,2,8,11,6.39,0.63
8 min UVC,Bs79,30,A7,3,9,16,8.11,0.5
8 min UVC,Bs79,30,A7,4,7,11,6.55,0.54
8 min UVC,Bs79,30,A7,5,8,14,8.41,0.68
8 min UVC,Bs79,30,A9,1,9,14,8.74,
8 min UVC,Bs79,30,A9,2,9,17,9.27,
8 min UVC,Bs79,30,A9,3,9.5,14,9.87,
8 min UVC,Bs79,30,A9,4,8.5,15,8.55,
8 min UVC,Bs79,30,A9,5,9.5,11,7.47,
8 min UVC,Bs79,30,A10,1,9.5,13,8.56,
8 min UVC,Bs79,30,A10,2,9,12,8.24,
8 min UVC,Bs79,30,A10,3,8,11,7.78,
8 min UVC,Bs79,30,A10,4,8.5,17,9.71,
8 min UVC,Bs79,30,A10,5,9.5,12,8.71,
8 min UVC,Bs79,30,B3,1,9,18,10,
8 min UVC,Bs79,30,B3,2,10,13,9.92,
8 min UVC,Bs79,30,B3,3,8,15,9.12,
8 min UVC,Bs79,30,B3,4,8,12,7.41,
8 min UVC,Bs79,30,B3,5,9.5,17,9.45,
8 min UVC,Bs49,30,B2,1,9,19,18.62,1.37
8 min UVC,Bs49,30,B2,2,9,22,19.12,1.39
8 min UVC,Bs49,30,B2,3,8,11,12.86,0.95
8 min UVC,Bs49,30,B2,4,9,19,19.62,1.41
8 min UVC,Bs49,30,B2,5,10,13,16.42,1.24
8 min UVC,Bs49,30,B5,1,10,17,12.48,
8 min UVC,Bs49,30,B5,2,9.5,11,12.67,
8 min UVC,Bs49,30,B5,3,9,21,15.31,
8 min UVC,Bs49,30,B5,4,9,16,15.48,
