Variety,Infarm Code ,Treatment ,Rep,Vitamin C mg.100g FW-1,Total Phenolic Content [mg GAE/g FW],Chl a ug.g FW,Chl b ug.g.FW,Chla+b ug.g.FW,Carotenoids mg.g.FW,TEACDPPH (mg TROLOX equivalents.g FW-1)
Italian Basil,BS49,Control,1,29.08098859,2.835537,404.9096296,330.242037,735.1516667,32.55352512,22.7048302
Italian Basil,BS49,Control,2,28.45381392,3.364797,270.4396078,127.6168627,398.0564706,23.42014272,24.4051214
Italian Basil,BS49,Control,3,31.08136676,3.710786,238.2266667,109.6698039,347.8964706,21.0498009,24.2475169
Peppermint,Mn24,Control,1,59.01053271,5.049132,705.080566,534.0003774,1239.080943,47.4084255,20.2993728
Peppermint,Mn24,Control,2,41.26997416,4.134823,389.3346296,181.9909259,571.3255556,30.2604327,21.1543228
Peppermint,Mn24,Control,3,37.48801056,3.932539,469.4324074,220.6653704,690.0977778,35.11150558,21.4691951
Flat Parsley ,Pr26,Control,1,227.1132961,1.796887,392.38,264.5577778,656.9377778,30.66069954,25.5281848
Flat Parsley ,Pr26,Control,2,254.2206848,2.136657,376.0025,195.0175,571.02,34.46757277,26.9024173
Flat Parsley ,Pr26,Control,3,220.2183126,2.050667,393.9350909,196.4670909,590.4021818,34.66457727,25.4069084
Mountain Coriander,Cr31,Control,1,82.60146071,2.551562,504.2040741,325.7059259,829.91,38.41234804,24.4003696
Mountain Coriander,Cr31,Control,2,105.2648824,2.368022,463.6817647,219.9417647,683.6235294,38.29660406,26.3448693
Mountain Coriander,Cr31,Control,3,88.71618434,2.335071,477.89,227.7111765,705.6011765,38.93642136,26.5145972
Bordeaux Basil,Bs79,Control,1,75.30500526,4.525953,304.39,230.9730189,535.3630189,22.1677327,22.9592063
Bordeaux Basil,Bs79,Control,2,154.4269731,4.270976,299.8574074,132.2781481,432.1355556,25.4669278,21.5607943
Bordeaux Basil,Bs79,Control,3,160.7439916,3.876316,275.2474545,120.2185455,395.466,22.98516009,21.5285149
Italian Basil,BS49,UV-C 5 min,1,29.52419639,3.760212,242.5988235,109.9564706,352.5552941,20.96410676,24.0171718
Italian Basil,BS49,UV-C 5 min,2,29.8702184,3.679684,271.0603704,135.1485185,406.2088889,23.01250374,22.5454857
Italian Basil,BS49,UV-C 5 min,3,33.46207944,3.243996,268.4825926,118.8346296,387.3172222,22.04297203,22.6657097
