Crop ,Tray_position ,Replicate ,Treatment ,day ,date       ,batchid         ,tray ,planteye_id ,digital_biomass__avg ,digital_biomass__max ,digital_biomass__min ,height__avg   ,height__max ,height__min ,height_max__avg ,height_max__max ,height_max__min ,leaf_area_index__avg ,leaf_area_index__max ,leaf_area_index__min ,proj_area__avg ,proj_area__max ,proj_area__min ,ndvi_aver__avg ,ndvi_aver__max ,ndvi_aver__min ,greenness_aver__avg ,greenness_aver__max ,greenness_aver__min ,hue_aver__avg ,hue_aver__max ,hue_aver__min ,area_3d__avg   ,area_3d__max ,area_3d__min ,leaf_inclination__avg ,leaf_inclination__max ,leaf_inclination__min ,leaf_angle__avg ,leaf_angle__max ,leaf_angle__min ,light_pen_depth__avg ,light_pen_depth__max ,light_pen_depth__min ,npci_aver__avg ,npci_aver__max ,npci_aver__min ,psri_aver__avg ,psri_aver__max ,psri_aver__min
Bs79 ,A6            ,1,Control   ,1,19/04/2022,29_HG_mix_st_16 ,0,scan1       ,1286627.125,1286627.125,1286627.125,28.36,28.36,28.36,39.423,39.423,39.423,0.194,0.194,0.194,29354.883,29354.883,29354.883,0.71719,0.71719,0.71719,-0.11584,-0.11584,-0.11584,354.34171,354.34171,354.34171,45368.035,45368.035,45368.035,1.54092,1.54092,1.54092,40.462,40.462,40.462,15.285,15.285,15.285,0.1409,0.1409,0.1409,0.02525,0.02525,0.02525
Pr26 ,A7            ,1,Control   ,1,19/04/2022,29_HG_mix_st_16 ,1,scan1       ,738361.125,738361.125,738361.125,20.575,20.575,20.575,33.534,33.534,33.534,0.153,0.153,0.153,22185.131,22185.131,22185.131,0.55476,0.55476,0.55476,0.35339,0.35339,0.35339,100.11992,100.11992,100.11992,35885.984,35885.984,35885.984,1.61455,1.61455,1.61455,38.268,38.268,38.268,10.662,10.662,10.662,0.24786,0.24786,0.24786,0.1025,0.1025,0.1025
Cr31 ,A8            ,3,Control   ,1,19/04/2022,29_HG_mix_st_16 ,2,scan1       ,1354924.75,1354924.75,1354924.75,31.869,31.869,31.869,54.505,54.505,54.505,0.182,0.182,0.182,23425.359,23425.359,23425.359,0.47029,0.47029,0.47029,0.26659,0.26659,0.26659,104.88439,104.88439,104.88439,42515.828,42515.828,42515.828,1.79452,1.79452,1.79452,33.864,33.864,33.864,26.104,26.104,26.104,0.14953,0.14953,0.14953,0.07317,0.07317,0.07317
Bs79 ,A9            ,2,Control   ,1,19/04/2022,29_HG_mix_st_16 ,3,scan1       ,1008395.062,1008395.062,1008395.062,22.03,22.03,22.03,33.293,33.293,33.293,0.196,0.196,0.196,29185.209,29185.209,29185.209,0.71989,0.71989,0.71989,-0.11913,-0.11913,-0.11913,355.80377,355.80377,355.80377,45772.836,45772.836,45772.836,1.56618,1.56618,1.56618,39.678,39.678,39.678,16.944,16.944,16.944,0.15485,0.15485,0.15485,0.02876,0.02876,0.02876
Bs79 ,A10           ,3,Control   ,1,19/04/2022,29_HG_mix_st_16 ,4,scan1       ,624387.188,624387.188,624387.188,15.655,15.655,15.655,25.527,25.527,25.527,0.17,0.17,0.17,25935.436,25935.436,25935.436,0.72652,0.72652,0.72652,-0.10979,-0.10979,-0.10979,357.97824,357.97824,357.97824,39883.582,39883.582,39883.582,1.53565,1.53565,1.53565,40.63,40.63,40.63,11.556,11.556,11.556,0.1603,0.1603,0.1603,0.03414,0.03414,0.03414
Pr26 ,B6            ,3,Control   ,1,19/04/2022,29_HG_mix_st_16 ,5,scan1       ,376902.656,376902.656,376902.656,11.401,11.401,11.401,25.463,25.463,25.463,0.141,0.141,0.141,21020.574,21020.574,21020.574,0.5771,0.5771,0.5771,0.37603,0.37603,0.37603,99.79034,99.79034,99.79034,33058.645,33058.645,33058.645,1.5674,1.5674,1.5674,39.641,39.641,39.641,8.864,8.864,8.864,0.26433,0.26433,0.26433,0.10558,0.10558,0.10558
Bs49 ,B7            ,3,Control   ,1,19/04/2022,29_HG_mix_st_16 ,6,scan1       ,101614.641,101614.641,101614.641,6.441,6.441,6.441,15.1,15.1,15.1,0.067,0.067,0.067,10145.453,10145.453,10145.453,0.70649,0.70649,0.70649,0.43557,0.43557,0.43557,104.19788,104.19788,104.19788,15776.721,15776.721,15776.721,1.55138,1.55138,1.55138,40.133,40.133,40.133,5.379,5.379,5.379,0.25073,0.25073,0.25073,0.0645,0.0645,0.0645
Mn24 ,B8            ,4,Control   ,1,19/04/2022,29_HG_mix_st_16 ,7,scan1       ,135987,135987,135987,8.229,8.229,8.229,14.414,14.414,14.414,0.071,0.071,0.071,10280.72,10280.72,10280.72,0.64345,0.64345,0.64345,0.39221,0.39221,0.39221,102.11954,102.11954,102.11954,16525.697,16525.697,16525.697,1.60448,1.60448,1.60448,38.553,38.553,38.553,6.911,6.911,6.911,0.239,0.239,0.239,0.08077,0.08077,0.08077
Bs49 ,B9            ,4,Control   ,1,19/04/2022,29_HG_mix_st_16 ,8,scan1       ,193070.719,193070.719,193070.719,9.731,9.731,9.731,15.955,15.955,15.955,0.085,0.085,0.085,12959.842,12959.842,12959.842,0.69771,0.69771,0.69771,0.42788,0.42788,0.42788,104.40601,104.40601,104.40601,19840.006,19840.006,19840.006,1.53132,1.53132,1.53132,40.769,40.769,40.769,8.583,8.583,8.583,0.24604,0.24604,0.24604,0.06407,0.06407,0.06407
Mn24 ,A1            ,1,Control   ,1,19/04/2022,29_HG_mix_st_16 ,0,scan2       ,674404.875,674404.875,674404.875,18.46,18.46,18.46,27.004,27.004,27.004,0.156,0.156,0.156,22843.584,22843.584,22843.584,0.63873,0.63873,0.63873,0.39206,0.39206,0.39206,102.51806,102.51806,102.51806,36532.359,36532.359,36532.359,1.59109,1.59109,1.59109,38.938,38.938,38.938,12.626,12.626,12.626,0.23959,0.23959,0.23959,0.08061,0.08061,0.08061
